
2024/07/13 (22:10:45) | ===> btop++ v.1.3.0
2024/07/13 (22:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (22:10:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (10:18:23) | ===> btop++ v.1.3.0
2024/07/14 (10:18:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (10:18:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (10:18:27) | ===> btop++ v.1.3.0
2024/07/14 (10:18:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (10:18:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (18:33:01) | ===> btop++ v.1.3.0
2024/07/14 (18:33:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (18:33:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (18:33:07) | ===> btop++ v.1.3.0
2024/07/14 (18:33:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (18:33:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
